,UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS,REGIAO
259,AP,2,0,2,2.0,156,153.61748015873016,5.05420634920635,N
260,AP,2,0,3,1.0,1129,357.35954424175077,3.1970787934964764,N
261,AP,2,0,3,2.0,171,344.25075197238664,3.37413708086785,N
262,AP,2,0,4,1.0,390,969.3769858475546,1.4699414910891893,N
263,AP,2,0,4,2.0,82,854.758258253134,1.8987441130298275,N
264,AP,2,1,1,1.0,11118,23.498508654757185,4.078092713654868,N
265,AP,2,1,1,2.0,2573,23.355626451487186,4.661041158014898,N
266,AP,2,1,2,1.0,1412,154.38471455099426,4.560551142216633,N
267,AP,2,1,2,2.0,240,151.0553358349577,5.193615646504303,N
268,AP,2,1,3,1.0,1237,384.8005489855194,3.333721053448238,N
269,AP,2,1,3,2.0,177,374.2008954933955,3.451700891700892,N
270,AP,2,1,4,1.0,243,1171.8280754323362,1.5395878631998272,N
271,AP,2,1,4,2.0,38,1031.724358974359,1.5576923076923077,N
272,AP,3,0,1,1.0,5177,23.773889722322743,3.4050457660805367,N
273,AP,3,0,1,2.0,1510,22.657810932575238,3.742672240788397,N
274,AP,3,0,2,1.0,787,154.96314488651058,3.5932521276668017,N
275,AP,3,0,2,2.0,95,162.64768518518517,3.731018518518519,N
276,AP,3,0,3,1.0,902,379.3333398341568,2.787670659685331,N
277,AP,3,0,3,2.0,100,360.06539481738423,2.8829069545249917,N
278,AP,3,0,4,1.0,975,998.6490576710545,1.2334205790651998,N
279,AP,3,0,4,2.0,84,957.5795557512663,1.3645525527104476,N
280,AP,3,1,1,1.0,9095,22.909990500362873,3.8073953711165265,N
281,AP,3,1,1,2.0,2152,21.895702291245385,3.9770086283545583,N
282,AP,3,1,2,1.0,1150,157.01323248589853,4.290410092528071,N
283,AP,3,1,2,2.0,135,150.58454106280195,4.101135265700483,N
284,AP,3,1,3,1.0,965,354.47617601916534,3.264830048581661,N
285,AP,3,1,3,2.0,93,382.3691603404647,3.0423878536922015,N
286,AP,3,1,4,1.0,450,1172.9113009510697,1.300593725258821,N
287,AP,3,1,4,2.0,34,1031.5847222222221,1.7409722222222221,N
288,AP,4,0,1,1.0,13360,24.978699897152893,2.2847484768638067,N
289,AP,4,0,1,2.0,2566,23.685070262225032,2.4940922782844153,N
290,AP,4,0,2,1.0,3642,165.34780969997794,1.900608358970696,N
291,AP,4,0,2,2.0,229,166.42720014080902,2.056495615719406,N
292,AP,4,0,3,1.0,6114,408.76282111068105,2.097463131392539,N
293,AP,4,0,3,2.0,330,387.63906594963635,2.3670655795326714,N
294,AP,4,0,4,1.0,12296,1077.2762492857878,1.179263577204323,N
295,AP,4,0,4,2.0,1058,1037.7574038142013,1.1580715767201202,N
296,AP,4,1,1,1.0,16085,24.669260680468707,2.8258822026638506,N
297,AP,4,1,1,2.0,2617,24.64435148204762,2.99192188343304,N
298,AP,4,1,2,1.0,2621,152.5844606316039,2.2531978130585695,N
299,AP,4,1,2,2.0,183,153.5590060221667,2.951856300852073,N
300,AP,4,1,3,1.0,3155,430.76300782233386,2.720194595627178,N
301,AP,4,1,3,2.0,178,421.40596768910916,2.5328434723171567,N
302,AP,4,1,4,1.0,3293,1132.3013987344798,1.1834353497945653,N
303,AP,4,1,4,2.0,268,1127.7088880718807,1.2328865601648853,N
304,AP,5,0,1,1.0,878,33.071401170706096,1.7866171535665776,N
305,AP,5,0,1,2.0,100,16.298074689538105,1.8732109354060573,N
306,AP,5,0,2,1.0,331,179.66091120668585,2.019593734382467,N
307,AP,5,0,2,2.0,9,184.95999999999998,1.28,N
308,AP,5,0,3,1.0,719,440.83823504039293,2.1973308798156945,N
309,AP,5,0,3,2.0,29,431.2867132867132,1.8209790209790209,N
310,AP,5,0,4,1.0,994,1189.2461128772952,1.188456572008016,N
311,AP,5,0,4,2.0,111,1072.452751431575,1.12273830744419,N
312,AP,5,1,1,1.0,17940,26.497991794849522,1.8191000345995259,N
313,AP,5,1,1,2.0,2662,26.68529123441463,1.8810739799143972,N
314,AP,5,1,2,1.0,4893,162.78101789758952,1.6468094324610658,N
315,AP,5,1,2,2.0,493,158.6770990758143,1.7081199217794771,N
316,AP,5,1,3,1.0,6320,395.266475110461,1.980821749085427,N
317,AP,5,1,3,2.0,429,408.73900876335404,1.783215436170039,N
318,AP,5,1,4,1.0,4484,1200.3282566325258,1.246215503009798,N
319,AP,5,1,4,2.0,392,1135.9502185231433,1.2248011928773384,N
320,BA,1,0,1,1.0,85468,32.138864583722324,2.805295324941785,NE
321,BA,1,0,1,2.0,54764,31.414130864664067,2.9352932924463104,NE
322,BA,1,0,2,1.0,10682,163.30273787535003,3.9159845725983162,NE
323,BA,1,0,2,2.0,4489,165.51563769248094,4.283204882262543,NE
324,BA,1,0,3,1.0,30732,402.17413204537826,2.769384817238862,NE
325,BA,1,0,3,2.0,20054,400.518038851607,2.8398899349806515,NE
326,BA,1,0,4,1.0,23040,960.6702325318198,1.5494076821157874,NE
327,BA,1,0,4,2.0,17538,956.6705858860054,1.685539375465418,NE
328,BA,1,1,1,1.0,147074,29.893569624604062,2.8600682861064133,NE
329,BA,1,1,1,2.0,128054,29.528444342383153,3.089124135067193,NE
330,BA,1,1,2,1.0,12886,159.2975299051089,4.086851499334838,NE
331,BA,1,1,2,2.0,6584,160.0273793212186,4.37467830147601,NE
332,BA,1,1,3,1.0,32449,421.5159002432672,2.939789728331191,NE
333,BA,1,1,3,2.0,23977,415.0305767729984,3.0822168730256205,NE
334,BA,1,1,4,1.0,15511,1055.8365749211957,1.6193052900369822,NE
335,BA,1,1,4,2.0,12749,1050.3999997148521,1.8155097635384865,NE
336,BA,2,0,1,1.0,107470,31.918878773253777,3.0345818915549523,NE
337,BA,2,0,1,2.0,50882,30.174076141814282,3.147965502014543,NE
338,BA,2,0,2,1.0,12780,160.52090894425123,3.723447390185709,NE
339,BA,2,0,2,2.0,3419,162.75576509437673,4.129241837138463,NE
340,BA,2,0,3,1.0,24206,383.4342150725989,2.856649384782905,NE
341,BA,2,0,3,2.0,8702,379.6664671452165,2.8983258121282347,NE
342,BA,2,0,4,1.0,15797,984.8530258623142,1.4413296003021803,NE
343,BA,2,0,4,2.0,6528,963.247665005112,1.510083314216922,NE
344,BA,2,1,1,1.0,172712,29.220594576417522,3.163272481153602,NE
345,BA,2,1,1,2.0,124437,27.92951019782856,3.3851053222790517,NE
346,BA,2,1,2,1.0,13993,159.16567365625866,3.9978222935849637,NE
347,BA,2,1,2,2.0,5373,157.70713451759127,4.384779490784773,NE
348,BA,2,1,3,1.0,26597,395.3333022536311,3.108378819457227,NE
349,BA,2,1,3,2.0,12455,380.633596451415,3.256197463650923,NE
350,BA,2,1,4,1.0,9702,1066.654308809976,1.5289090593952162,NE
351,BA,2,1,4,2.0,4088,1071.1302319627332,1.6173471391319416,NE
352,BA,3,0,1,1.0,106224,32.80460529078713,2.5837202207299694,NE
353,BA,3,0,1,2.0,52575,31.682637909331866,2.569815964918031,NE
354,BA,3,0,2,1.0,12146,161.9389619666531,2.848602170040237,NE
355,BA,3,0,2,2.0,2707,159.4522101626911,2.836273297939908,NE
356,BA,3,0,3,1.0,27560,403.0551069287018,2.5456680173053154,NE
357,BA,3,0,3,2.0,6854,397.2880444858597,2.5268398852496405,NE
358,BA,3,0,4,1.0,34583,1035.0088712316888,1.3650776653250698,NE
359,BA,3,0,4,2.0,14270,1012.1451869432647,1.3821647574600862,NE
360,BA,3,1,1,1.0,147932,29.752250855452193,2.803463274059494,NE
361,BA,3,1,1,2.0,106835,28.529529309751336,2.891522493815072,NE
362,BA,3,1,2,1.0,12496,157.86443478970824,3.2360898358596457,NE
363,BA,3,1,2,2.0,3777,156.3918662685571,3.3442655350214534,NE
364,BA,3,1,3,1.0,24425,418.85796572043427,2.8280161373563866,NE
365,BA,3,1,3,2.0,8294,399.0693668583263,2.97185064959734,NE
